,0
877,5507.922
878,5513.957
879,5494.211
880,5514.513
881,5514.189
882,5441.738
883,5424.961
884,5464.794
885,5486.317
886,5481.438
887,5466.947
888,5502.79
889,5489.706
890,5486.259
891,5497.189
892,5497.13
893,5478.898
894,5459.187
895,5455.664
896,5452.154
897,5458.213
898,5436.49
899,5458.591
900,5473.33
901,5474.214
902,5492.678
903,5480.551
904,5488.907
905,5471.226
906,5473.123
907,5457.172
908,5435.944
909,5438.204
910,5442.19
911,5418.43
912,5417.837
913,5430.583
914,5404.766
915,5389.134
916,5394.87
917,5362.497
918,5383.071
919,5422.592
920,5426.601
921,5435.075
922,5412.294
923,5410.123
924,5395.976
925,5378.764
926,5336.522
927,5302.374
928,5288.075
929,5284.012
930,5271.233
931,5262.46
932,5285.334
933,5307.031
934,5298.867
935,5278.506
936,5283.792
937,5298.86
938,5337.9
939,5345.389
940,5329.371
941,5369.22
942,5360.107
943,5359.247
944,5361.057
945,5355.172
946,5351.976
947,5400.466
948,5406.565
949,5422.079
950,5412.152
951,5406.977
952,5391.188
953,5403.175
954,5384.777
955,5387.355
956,5402.097
957,5404.672
958,5424.074
959,5442.987
960,5437.452
961,5444.954
962,5428.589
963,5427.978
964,5437.032
965,5446.766
966,5470.023
967,5456.276
968,5463.47
969,5445.014
970,5461.887
971,5462.317
972,5504.777
973,5499.33
974,5492.666
975,5510.667
976,5506.54
977,5489.72
978,5469.774
979,5469.125
980,5458.605
981,5463.133
982,5447.816
983,5464.888
984,5486.756
985,5472.877
986,5451.821
987,5466.991
988,5467.529
989,5451.439
990,5464.096
991,5469.035
992,5471.856
993,5485.701
994,5493.238
995,5472.954
996,5463.962
997,5430.568
998,5437.628
999,5431.774
1000,5432.641
1001,5409.695
1002,5409.53
1003,5421.908
1004,5406.952
1005,5410.316
1006,5418.237
1007,5419.656
1008,5409.412
1009,5432.07
1010,5432.241
1011,5427.225
1012,5436.944
1013,5457.161
1014,5447.474
1015,5437.334
1016,5409.217
1017,5380.872
1018,5394.085
1019,5407.487
1020,5386.509
1021,5372.584
1022,5369.987
1023,5319.881
1024,5342.626
1025,5376.85
1026,5378.098
1027,5394.8
1028,5399.477
1029,5407.707
1030,5445.164
1031,5461.136
1032,5459.312
1033,5479.306
1034,5480.204
1035,5502.874
1036,5505.176
1037,5503.178
1038,5508.378
1039,5526.893
1040,5528.035
1041,5547.416
1042,5534.607
1043,5536.561
1044,5541.759
1045,5561.566
1046,5569.826
1047,5582.791
1048,5579.858
1049,5578.873
1050,5571.225
1051,5577.708
1052,5572.878
1053,5581.313
1054,5583.897
1055,5586.229
1056,5578.164
1057,5567.735
1058,5557.861
1059,5567.923
1060,5570.725
1061,5582.764
1062,5576.99
1063,5590.242
1064,5589.852
1065,5574.581
1066,5565.255
1067,5567.787
1068,5542.866
1069,5547.596
1070,5569.348
1071,5562.29
1072,5557.231
1073,5564.239
1074,5581.212
1075,5574.587
1076,5579.929
1077,5586.627
1078,5520.642
1079,5513.027
1080,5533.83
1081,5539.196
1082,5516.647
1083,5482.542
1084,5494.928
1085,5521.995
1086,5526.258
1087,5509.622
1088,5532.232
1089,5537.541
1090,5551.619
1091,5551.443
1092,5555.765
1093,5541.909
1094,5524.45
1095,5536.818
1096,5534.794
1097,5532.806
1098,5536.04
1099,5552.085
1100,5557.334
1101,5560.591
1102,5554.13
1103,5548.019
1104,5539.07
1105,5541.351
1106,5552.577
1107,5547.36
1108,5530.737
1109,5521.596
1110,5519.617
1111,5520.902
1112,5495.164
1113,5510.384
1114,5526.554
1115,5526.484
1116,5529.695
1117,5555.396
1118,5561.84
1119,5580.764
1120,5586.478
1121,5572.171
1122,5607.641
1123,5623.647
1124,5621.026
1125,5605.326
1126,5610.173
1127,5631.32
1128,5654.292
1129,5657.378
1130,5660.931
1131,5667.223
1132,5691.824
1133,5716.627
1134,5711.446
1135,5705.128
1136,5723.796
1137,5721.182
1138,5721.169
1139,5711.495
1140,5719.501
1141,5734.773
1142,5728.765
1143,5735.118
1144,5736.952
1145,5729.894
1146,5713.875
1147,5711.532
1148,5707.813
1149,5704.672
1150,5707.444
1151,5687.048
1152,5693.076
1153,5695.362
1154,5700.483
1155,5708.029
1156,5710.803
1157,5723.174
1158,5721.286
1159,5719.267
1160,5688.86
1161,5689.484
1162,5674.974
1163,5689.497
1164,5708.31
1165,5703.05
1166,5707.877
